"","x"
"1",-0.205731667431481
"2",-0.329400698058982
"3",-0.306294563431282
"4",-0.409971347375813
"5",-0.243527714847434
"6",-0.274623275095432
"7",-0.301303105933328
"8",-0.223833425787162
"9",-0.314256350531215
"10",-0.266686414429486
"11",-0.306661155631704
"12",-0.352946937541476
"13",-0.166460515811894
"14",-0.0201645203777246
"15",-0.0469561453152379
"16",-0.0503583807372661
"17",-0.315730197576716
"18",-0.061727639053544
"19",-0.307408133604937
"20",-0.0894639091493602
"21",-0.302109966582798
"22",-0.200244047114596
"23",-0.262435230603894
"24",-0.250684095194566
"25",-0.0379799802923369
"26",0.156408532150819
"27",-0.0442299681963793
"28",-0.0546843464483977
"29",-0.0784059651537678
"30",-0.07690608114242
"31",0.00288249685684043
"32",-0.127519280500935
"33",0.119301767685432
"34",-0.00726948692923362
"35",-0.282128966065104
"36",0.0390504987094404
"37",-0.108700388953664
"38",-0.163578336388005
"39",-0.0273922290846647
"40",0.146923965574242
"41",-0.276567988813081
"42",-0.390195017227015
"43",-0.378727904584661
"44",-0.285963107297302
"45",-0.0848554599225157
"46",-0.215652079134283
"47",-0.399579098954009
"48",-0.0499603551658839
"49",-0.258893418338173
"50",-0.306655407892116
"51",-0.238855958884007
"52",-0.141275901242254
"53",-0.0690412210410396
"54",-0.255206983112364
"55",-0.121756455753736
"56",0.106282100466893
"57",-0.113825367063816
"58",-0.148836620719777
"59",-0.0303665942112464
"60",-0.209241467293248
"61",0.196046463808788
"62",-0.004535309753095
"63",-0.0311085614629554
"64",0.115653044710249
"65",0.00789731568085354
"66",-0.142475853022659
"67",-0.0994926551575844
"68",-0.0807670704777849
"69",-0.0626269532573906
"70",0.304670869816366
"71",0.493668912018361
"72",0.347248937022689
"73",0.588914444452403
"74",0.30266248656126
"75",0.183256503085835
"76",0.0187597452481486
"77",0.0128900957493016
"78",0.084471978863759
"79",0.548254452666725
"80",0.323014685270465
"81",0.405839313346468
"82",0.061106481800056
"83",0.0698048555721802
"84",0.0849137498840311
"85",0.200986835789923
"86",-0.0014910039294431
"87",-0.256907897893074
"88",-0.12736331629915
"89",0.281090169382969
"90",0.123001339661823
"91",0.100388235142622
"92",-0.173917600361529
"93",0.153656809506351
"94",-0.0136213423666309
"95",-0.0470728147939558
"96",-0.216476759094798
"97",-0.359906193282948
"98",-0.207762245923528
"99",-0.374225014595415
"100",-0.237771862227581
"101",-0.375847107572685
"102",-0.403463802089093
"103",-0.492946737939104
"104",-0.322783978636787
"105",-0.283915700679267
"106",-0.28452898976514
"107",-0.317287868134058
"108",-0.0934686089943267
"109",-0.254297074201844
"110",-0.294377025370437
"111",-0.411763645970484
"112",-0.253635627933005
"113",-0.140872009305126
"114",-0.348206233138916
"115",-0.329869682282944
"116",-0.32586839174298
"117",0.209245559478339
"118",-0.0391574986583363
"119",-0.00790632277031449
"120",-0.00383244586557393
"121",0.0812567081501091
"122",0.0285412059498063
"123",0.142549946259966
"124",0.0192977496461773
"125",0.0120235894672635
"126",0.155934550152995
"127",-0.0263188136354063
"128",-0.0681803108785934
"129",0.0332874528406504
"130",-0.056953804838838
"131",-0.0086317164194197
"132",-0.0844259640136477
"133",0.0850325983511378
"134",0.0162282369892079
"135",0.00962107568220612
"136",0.102538142230127
"137",0.0487978381770396
"138",-0.152250975581136
"139",0.174861287548711
"140",0.0198291779391274
"141",0.118282432160842
"142",0.0563702086668757
"143",0.108458672211262
"144",0.110289347168773
"145",0.0114181457915125
"146",0.0670708868216732
"147",-0.0725824827323911
"148",-0.0645944677806126
"149",-0.013294281261202
"150",0.0659232659086431
"151",0.295957595648784
"152",0.0831267243133453
"153",0.200583835682516
"154",0.0998181637848932
"155",0.13042799700839
"156",0.139160396507301
"157",0.21619235881473
"158",0.23004673341024
"159",-0.0220127028838301
"160",0.0277307597839391
"161",-0.261115035179057
"162",-0.209418734205216
"163",0.19434419941846
"164",0.128582391293237
"165",-0.134359897641196
"166",-0.113200014070869
"167",-0.120712536173776
"168",-0.194424509313206
"169",-0.234865675663302
"170",-0.210083889314628
"171",-0.248783976158388
"172",-0.227887478628993
"173",-0.134322069195177
"174",-0.223713615233251
"175",-0.275522933172631
"176",-0.331491329000904
"177",-0.219334682619266
"178",-0.304399207806375
"179",-0.21381201268978
"180",-0.391117703151326
"181",-0.10106365720667
"182",-0.127610309385193
"183",-0.24017875415978
"184",0.0698099905149019
"185",-0.0271669394167641
"186",-0.111322165356932
"187",-0.0511096141922946
"188",-0.0776581738013517
"189",-0.0250278655986047
"190",-0.0401870634150933
"191",-0.0465489075803738
"192",-0.0839703923415357
"193",-0.0629152987318927
"194",-0.163752832614005
"195",0.0120045824651363
"196",-0.036533772091803
"197",0.0851715931647819
"198",-0.081623613216462
"199",-0.0955573830825543
"200",0.027453919396749
"201",-0.0724981452407449
"202",-0.132761276777385
"203",-0.197078631574461
"204",-0.283784982218573
"205",-0.203408246174332
"206",-0.315732754925547
"207",-0.173637280303172
"208",-0.169036608385021
"209",-0.012366981214431
"210",-0.161766496876324
"211",-0.0803036229894696
"212",-0.152243779507575
"213",0.0116539139228604
"214",0.00615642765568826
"215",-0.00309960426921109
"216",-0.0428850829740557
"217",0.0289513931699842
"218",-0.0205063323954167
"219",-0.0918181542068777
"220",0.0702673411689632
"221",-0.0255647722769056
"222",-0.11694295435124
"223",0.0258335977394295
"224",0.0442438165296169
"225",-0.174780192846456
"226",-0.141812072258341
"227",-0.0111487538688611
"228",0.188208798764692
"229",0.0356167704231887
"230",-0.150201105126317
"231",0.220292129846277
"232",0.0786826327942313
"233",-0.0405547696092801
"234",-0.3617608020749
"235",-0.424600865019883
"236",-0.412819945478003
"237",0.0207266324894258
"238",-0.120169455517437
"239",-0.373495654852787
"240",-0.413453638825691
"241",0.169076418404375
"242",-0.0117587496541614
"243",0.0607618616961594
"244",-0.0137237359670115
"245",0.0210895434965861
"246",0.137719903792708
"247",-0.219418948024777
"248",0.0187922934014687
"249",0.0881295480701197
"250",-0.0936889734293198
"251",-0.170332480508788
"252",-0.261102401710049
"253",0.193667084548744
"254",0.329033911684226
"255",0.266869889029395
"256",0.198711490549524
"257",-0.0773957389294854
"258",-0.025436350748233
"259",0.000145315326205434
"260",-0.0548758850275621
"261",0.0488750505537185
"262",-0.016455966720349
"263",-0.165088758353246
"264",0.111395614285996
"265",0.154416367195617
"266",0.256858786999483
"267",0.0103651460302797
"268",-0.0224748937703709
"269",-0.0178991313166351
"270",-0.0700250243874158
"271",-0.0182400636404993
"272",0.27403761900327
"273",-0.0160233477271732
"274",-0.0468162605691388
"275",-0.0928879847487722
"276",-0.0645867380471963
"277",0.235249570011637
"278",0.0671068620386574
"279",0.213080665638603
"280",-0.00665483904361394
"281",0.158068356067983
"282",-0.0899708113382416
"283",0.328433113835533
"284",0.288430421676206
"285",0.359799048387825
"286",0.16660036888624
"287",0.660072299873364
"288",0.503875893490134
"289",0.327496737323112
"290",0.564118193545652
"291",0.26320843769509
"292",0.111612113125957
"293",0.365057763948712
"294",0.47572474786175
"295",0.448501831987295
"296",0.172074652059891
"297",0.0810548171607665
"298",0.47117836637389
"299",0.366557316692096
"300",0.244475770816486
"301",0.220038134886387
"302",0.129707148286333
"303",0.0823421243510214
"304",0.184409591915445
"305",-0.0479782356300637
"306",-0.0460425729917715
"307",0.0834606709764654
"308",0.240009510566544
"309",0.408163970511802
"310",0.399466498302255
"311",0.0433160066225238
"312",-0.12382075168717
"313",-0.0400385665334035
"314",-0.188076626813402
"315",-0.130414659639273
"316",-0.175300038182603
"317",-0.00315376697852282
"318",0.122919537342471
"319",0.00480017658508046
"320",-0.023684920102692
"321",0.446942005244317
"322",0.173139158911564
"323",0.120658080802418
"324",-0.0440130165671047
"325",0.0205471455317892
"326",0.207405261429344
"327",0.167170057432176
"328",0.16761815516571
"329",0.556071913372234
"330",0.190747973129881
"331",0.148144877321455
"332",0.215146876020167
"333",0.133097381086938
"334",0.0129067487926248
"335",0.47916711580608
"336",0.230842984355493
"337",0.19831877755847
"338",-0.10109416190252
"339",-0.0473680436413845
"340",0.0788035503280049
"341",-0.147213624798915
"342",0.0986570683989036
"343",0.495184677291055
"344",0.636633984495355
"345",-0.0134085169148945
"346",0.354267087080228
"347",0.388916748247576
"348",0.243972397596481
"349",0.392525956304406
"350",0.460381341925629
"351",0.345362410875245
"352",0.210888640367559
"353",0.495354729835033
"354",0.35903057260489
"355",0.416845717015557
"356",-0.318812423920365
"357",-0.240424618955559
"358",-0.529350742585368
"359",-0.338596841176565
"360",-0.397324916296845
"361",-0.316488658892686
"362",-0.229146066556818
"363",-0.420776121826578
"364",-0.449210659894223
"365",-0.490310782663043
"366",-0.167834105319668
"367",-0.167248884719439
"368",-0.155764734204618
"369",-0.142092738530924
"370",-0.257384822942762
"371",-0.163071273650894
"372",-0.233404465668163
"373",-0.190199700905168
"374",-0.175741998646291
"375",-0.152604323518152
"376",-0.318968480747149
"377",-0.351353844200998
"378",-0.200728637160353
"379",-0.115418067623462
"380",-0.169014529812824
"381",-0.301711515763303
"382",-0.191475216886998
"383",-0.244265062570236
"384",-0.0608762993522554
"385",-0.149753912776051
"386",-0.193861078714356
"387",-0.327411594524496
"388",-0.249672080804679
"389",-0.182348672546212
"390",-0.0994758974990148
"391",-0.136932285481141
"392",-0.170489421459989
"393",-0.0538611461364309
"394",-0.0900854384156652
"395",-0.230929955491479
"396",-0.155611585693279
"397",-0.172079965221327
"398",-0.28568514727233
"399",-0.243185765165005
"400",-0.178840247267078
"401",-0.170490289870998
"402",-0.283001411024755
"403",-0.229566894379928
"404",-0.167932062035796
"405",-0.197445026718987
"406",-0.285811573164122
"407",-0.086916742260666
"408",-0.138590345459771
"409",0.0227509691657749
"410",-0.364178555523891
"411",-0.157039488675799
"412",-0.187493903850341
"413",-0.206039661306145
"414",-0.188094882661441
"415",-0.175368725285802
"416",-0.13687409368942
"417",-0.198659072596341
"418",-0.180340784298614
"419",-0.314010447170894
"420",-0.279134468739146
"421",-0.135124267058237
"422",-0.0656088171631342
"423",-0.224936210115029
"424",-0.130210813945747
"425",-0.272281776953098
"426",-0.201196962821573
"427",-0.286847262823937
"428",-0.158111705310506
"429",-0.218076878135791
"430",-0.266724031090259
"431",-0.182488693398075
"432",-0.198234643789735
"433",-0.276497837189907
"434",-0.226529713891398
"435",-0.165731613803114
"436",-0.204582876055664
"437",-0.23356947875767
"438",-0.259809750931473
"439",-0.274894564955511
"440",0.0297535478065165
"441",0.0370644181622601
"442",-0.181923568949534
"443",-0.200895830405216
"444",-0.203421131665436
"445",-0.148028650680284
"446",-0.0343495458323409
"447",-0.0156801325496251
"448",0.0588964762675109
"449",-0.0122010321964265
"450",0.163592994586102
"451",0.0972710505037395
"452",0.159548907553574
"453",0.323508356535437
"454",0.500683648197907
"455",0.347123596302756
"456",0.68775185750466
"457",-0.252800740650511
"458",-0.341180019488271
"459",-0.286346588530834
"460",-0.332671622538074
"461",0.151747772289441
"462",-0.192571705846159
"463",-0.225477404152197
"464",-0.114554440064769
"465",-0.203062959390261
"466",-0.371614949957056
"467",-0.284504078444967
"468",-0.147551906789131
"469",-0.211548880467639
"470",-0.364711360768615
"471",-0.154563439279398
"472",-0.386280046962322
"473",-0.392628227246062
"474",-0.365474835369571
"475",-0.39195596921269
"476",-0.3967693994333
"477",-0.286713325417872
"478",-0.299076850374393
"479",-0.373882796219718
"480",-0.207220444946817
"481",-0.29934100951865
"482",-0.345357106718229
"483",0.498305617376249
"484",0.70622112294611
"485",-0.0532414063407491
"486",-0.123981159561296
"487",-0.198722605726263
"488",-0.0716580319764827
"489",-0.112571733169194
"490",0.0705564770587924
"491",-0.0858959987995282
"492",-0.061319922842683
"493",-0.0923485299563424
"494",-0.191776449260689
"495",-0.145928376489533
"496",-0.233706918015098
"497",-0.262431611597601
"498",-0.307827552428885
"499",-0.465014936936384
"500",-0.263436238565737
"501",-0.0803193687376105
"502",-0.482926865061165
"503",-0.296445321965759
"504",-0.15588821505586
"505",-0.244002990597076
"506",-0.48150697705681
"507",-0.475757960985888
"508",-0.278677698354726
"509",-0.149745564938749
"510",-0.21015680424995
